District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Adilabad,September,137.16,31.7,30.0,2019
Jogulamba Gadwal,March,12.41,25.4,96.0,2017
Rangareddy,February,8.31,20.5,77.0,2015
Rajanna Sircilla,September,138.79,38.9,72.0,2025
Mulugu,May,31.98,21.7,20.0,2020
Adilabad,August,188.16,34.3,30.0,2020
Nagarkurnool,June,118.6,30.2,93.0,2025
Adilabad,February,7.55,42.4,84.0,2019
Kamareddy,January,11.32,30.4,79.0,2020
Rangareddy,April,18.62,29.1,21.0,2016
Hanamkonda,February,7.97,27.3,47.0,2020
Kumurambheem Asifabad,July,189.61,39.9,50.0,2021
Mahabubnagar,September,138.54,35.5,27.0,2019
Karimnagar,June,119.65,38.0,44.0,2019
Jogulamba Gadwal,September,135.07,18.5,47.0,2019
Vikarabad,February,7.03,31.3,32.0,2023
Karimnagar,September,136.11,34.2,44.0,2016
Nagarkurnool,March,15.62,30.1,28.0,2021
Peddapalli,February,5.62,31.7,60.0,2024
Rajanna Sircilla,January,9.99,39.5,52.0,2020
Mancherial,June,120.97,17.3,80.0,2023
Sangareddy,August,189.55,39.1,37.0,2016
Peddapalli,June,117.6,23.3,72.0,2016
Wanaparthy,April,20.55,33.9,88.0,2017
Hyderabad,September,138.17,30.2,61.0,2020
Kumurambheem Asifabad,May,30.27,21.8,20.0,2021
Vikarabad,January,6.91,22.9,63.0,2015
Yadadri Bhuvanagiri,September,135.28,40.6,31.0,2024
Siddipet,April,17.68,18.3,75.0,2017
Nalgonda,January,8.97,35.2,57.0,2019
Mulugu,October,93.17,32.9,81.0,2022
Mulugu,October,93.73,38.2,91.0,2024
Rangareddy,January,10.29,43.6,84.0,2021
Khammam,May,27.8,34.6,59.0,2025
Suryapet,February,4.4,33.7,74.0,2019
Medak,January,10.32,38.0,49.0,2025
Suryapet,April,18.42,36.7,66.0,2020
Mancherial,July,191.53,29.1,34.0,2016
Peddapalli,April,20.21,18.3,60.0,2021
Sangareddy,February,5.07,17.7,91.0,2020
Mahabubabad,January,12.27,34.5,88.0,2025
Mancherial,June,116.29,30.0,84.0,2017
Nalgonda,October,91.4,42.6,23.0,2024
Vikarabad,October,94.91,15.9,56.0,2023
Vikarabad,July,193.81,17.5,49.0,2025
Rajanna Sircilla,October,93.0,43.6,56.0,2023
Karimnagar,March,15.57,19.9,74.0,2019
Jagtial,May,29.41,18.1,30.0,2025
Jogulamba Gadwal,September,136.63,23.9,39.0,2017
Hyderabad,July,191.15,27.9,71.0,2022
Mahabubnagar,March,12.98,36.6,100.0,2019
Adilabad,August,188.75,20.2,64.0,2018
Nagarkurnool,April,18.55,26.8,97.0,2017
Hanamkonda,October,91.06,39.4,40.0,2023
Yadadri Bhuvanagiri,July,190.55,31.9,53.0,2020
Khammam,December,9.06,25.4,45.0,2017
Rangareddy,December,6.58,26.0,74.0,2025
Jagtial,January,8.83,35.4,54.0,2018
Adilabad,December,6.95,44.3,73.0,2017
Suryapet,December,1.22,27.8,63.0,2015
Karimnagar,June,116.94,22.0,88.0,2025
Mahabubabad,June,122.03,16.6,59.0,2024
Jogulamba Gadwal,January,10.09,25.6,70.0,2015
Medak,April,16.64,33.7,28.0,2024
Rajanna Sircilla,May,30.7,38.4,50.0,2016
Jogulamba Gadwal,December,3.86,43.8,39.0,2022
Peddapalli,May,28.07,27.8,55.0,2016
Kumurambheem Asifabad,May,28.07,43.0,66.0,2025
Khammam,December,4.37,43.3,35.0,2023
Yadadri Bhuvanagiri,May,31.39,30.0,25.0,2025
Adilabad,January,12.78,28.3,86.0,2025
Khammam,April,20.84,41.2,67.0,2017
Nagarkurnool,October,90.7,30.5,81.0,2023
Hanamkonda,May,28.88,44.9,95.0,2021
Mancherial,February,7.61,20.8,62.0,2018
Hyderabad,September,138.62,34.3,60.0,2021
Medak,November,16.27,38.2,58.0,2025
Mulugu,July,194.77,26.3,24.0,2021
Adilabad,March,14.37,41.8,25.0,2020
Mancherial,August,193.3,18.9,20.0,2024
Suryapet,July,195.71,38.4,34.0,2019
Mahabubnagar,October,94.01,39.7,57.0,2016
Jagtial,July,194.86,16.0,60.0,2025
Vikarabad,April,19.85,18.9,20.0,2020
Mahabubabad,August,193.19,35.1,34.0,2020
Karimnagar,May,30.49,28.2,34.0,2017
Wanaparthy,October,95.47,15.8,48.0,2023
Wanaparthy,May,30.47,25.1,92.0,2021
Rangareddy,December,6.06,22.2,33.0,2020
Suryapet,December,3.76,24.8,88.0,2017
Wanaparthy,February,3.35,44.4,79.0,2017
Medak,September,137.6,42.1,25.0,2015
Adilabad,February,8.77,23.0,79.0,2020
Mulugu,July,193.32,15.2,51.0,2025
Jogulamba Gadwal,January,13.58,41.0,47.0,2023
Sangareddy,November,17.39,39.2,77.0,2017
Rajanna Sircilla,November,15.43,35.5,27.0,2021
Hanamkonda,January,9.55,18.6,44.0,2022
Kamareddy,March,11.66,42.6,88.0,2018
Nizamabad,September,140.96,18.6,60.0,2019
Mahabubnagar,May,28.89,44.6,27.0,2022
Peddapalli,March,12.15,23.3,63.0,2022
Rajanna Sircilla,November,20.81,39.5,46.0,2017
Nalgonda,January,8.26,35.5,91.0,2021
Mahabubnagar,March,14.25,18.5,72.0,2019
Sangareddy,August,191.02,18.4,93.0,2025
Medak,August,191.47,32.2,82.0,2025
Nalgonda,April,14.06,33.2,94.0,2015
Nizamabad,March,13.28,29.0,24.0,2025
Nagarkurnool,December,6.61,41.4,87.0,2015
Wanaparthy,July,195.02,25.0,85.0,2021
Jagtial,October,92.0,40.0,37.0,2018
Jogulamba Gadwal,October,92.9,20.5,21.0,2018
Medak,June,120.4,30.8,23.0,2021
Yadadri Bhuvanagiri,March,13.48,15.7,55.0,2016
Hanamkonda,May,32.11,34.4,67.0,2016
Adilabad,September,139.95,36.2,55.0,2016
Peddapalli,May,28.14,33.2,65.0,2020
Jogulamba Gadwal,January,8.18,41.2,89.0,2015
Medak,May,32.84,15.3,46.0,2020
Mancherial,December,1.66,44.8,95.0,2022
Karimnagar,June,120.27,20.1,78.0,2022
Mulugu,February,6.2,25.1,56.0,2016
Suryapet,November,15.15,16.3,33.0,2021
Rangareddy,January,7.43,22.3,77.0,2025
Siddipet,March,12.52,28.8,22.0,2022
Jogulamba Gadwal,April,16.96,18.0,78.0,2018
Rangareddy,February,3.74,15.7,98.0,2023
Nalgonda,May,28.63,15.1,54.0,2025
Mahabubabad,February,7.51,29.4,55.0,2019
Nagarkurnool,September,136.13,20.4,89.0,2016
Suryapet,May,32.02,41.7,50.0,2022
Vikarabad,June,118.26,44.0,22.0,2018
Nagarkurnool,December,5.62,25.2,41.0,2024
Hyderabad,May,33.41,40.9,29.0,2022
Suryapet,March,14.19,31.0,87.0,2021
Siddipet,November,20.41,28.6,90.0,2024
Hyderabad,October,93.57,37.4,22.0,2022
Nalgonda,August,188.95,32.9,34.0,2015
Hyderabad,June,118.88,19.0,71.0,2023
Kumurambheem Asifabad,February,7.14,39.9,24.0,2024
Adilabad,May,26.88,43.1,98.0,2022
Adilabad,August,191.55,17.7,49.0,2020
Siddipet,September,137.23,20.3,42.0,2025
Suryapet,March,15.85,33.9,51.0,2021
Rajanna Sircilla,November,20.6,17.5,87.0,2025
Sangareddy,November,19.42,36.7,39.0,2022
Jagtial,August,187.96,28.9,79.0,2025
Jogulamba Gadwal,November,17.31,36.1,55.0,2022
Hanamkonda,November,19.89,35.9,24.0,2020
Hanamkonda,February,4.12,35.6,25.0,2019
Khammam,June,115.44,21.1,35.0,2024
Jogulamba Gadwal,September,134.71,37.6,22.0,2017
Mahabubnagar,March,14.77,26.8,83.0,2025
Rajanna Sircilla,July,190.38,37.3,38.0,2016
Suryapet,June,119.71,35.8,100.0,2022
Peddapalli,January,9.94,16.0,45.0,2019
Sangareddy,January,8.84,37.0,40.0,2021
Kamareddy,July,192.35,32.7,90.0,2016
Jagtial,July,191.38,44.3,43.0,2015
Jogulamba Gadwal,January,9.01,33.9,99.0,2021
Vikarabad,December,3.85,15.8,85.0,2024
Mancherial,May,32.4,17.3,48.0,2016
Khammam,April,21.56,32.1,30.0,2015
Nagarkurnool,February,5.57,31.8,56.0,2019
Nizamabad,March,11.87,24.3,47.0,2021
Hyderabad,June,124.82,43.4,43.0,2020
Jagtial,November,16.83,34.8,69.0,2022
Sangareddy,February,7.13,25.1,22.0,2022
Vikarabad,October,90.26,41.2,64.0,2015
Nalgonda,August,190.55,16.8,76.0,2018
Peddapalli,May,30.75,16.3,91.0,2019
Mahabubabad,February,8.84,25.5,68.0,2018
Jagtial,October,90.59,22.4,88.0,2016
Rajanna Sircilla,July,191.24,39.6,59.0,2021
Karimnagar,February,9.38,40.5,47.0,2024
Jagtial,May,31.74,28.4,70.0,2019
Kamareddy,August,188.19,20.7,60.0,2016
Rajanna Sircilla,April,20.41,17.0,21.0,2018
Kamareddy,September,136.81,35.5,51.0,2025
Mancherial,June,117.16,43.0,77.0,2017
Karimnagar,February,3.37,23.3,78.0,2021
Nizamabad,November,19.2,15.3,80.0,2025
Nalgonda,November,21.3,37.7,75.0,2024
Mahabubnagar,July,195.28,39.0,65.0,2018
Nagarkurnool,January,11.37,18.1,63.0,2017
Mancherial,August,191.82,32.0,27.0,2016
Kumurambheem Asifabad,April,18.69,15.5,46.0,2020
Kumurambheem Asifabad,November,18.46,41.5,86.0,2019
Nagarkurnool,September,134.66,16.1,31.0,2017
Mancherial,July,190.8,28.7,50.0,2019
Karimnagar,August,189.71,32.9,83.0,2018
Vikarabad,April,18.46,38.1,80.0,2023
Yadadri Bhuvanagiri,December,6.0,15.2,50.0,2021
Mahabubabad,July,194.86,35.0,72.0,2021
Nizamabad,November,15.6,39.3,21.0,2022
Hanamkonda,January,8.65,29.8,28.0,2022
Hyderabad,September,136.06,26.3,85.0,2018
Karimnagar,December,4.29,43.1,25.0,2016
Yadadri Bhuvanagiri,September,134.36,29.7,97.0,2022
Nalgonda,December,7.26,17.5,85.0,2024
Mancherial,November,14.47,19.3,47.0,2019
Rangareddy,January,9.12,42.0,94.0,2015
Yadadri Bhuvanagiri,November,19.28,39.6,46.0,2023
Vikarabad,January,6.62,43.7,79.0,2021
Adilabad,April,18.85,42.6,90.0,2020
Rajanna Sircilla,May,31.76,43.4,32.0,2024
Nalgonda,September,138.58,22.9,26.0,2018
Suryapet,January,8.91,44.1,65.0,2024
Peddapalli,August,193.28,24.6,45.0,2018
Nalgonda,May,30.8,38.9,57.0,2023
Sangareddy,January,7.78,29.2,87.0,2017
Karimnagar,October,89.31,22.4,72.0,2021
Siddipet,December,1.38,22.0,33.0,2017
Kamareddy,June,117.54,21.2,32.0,2022
Sangareddy,March,13.17,33.5,67.0,2019
Vikarabad,June,117.81,36.0,22.0,2022
Jagtial,August,187.99,23.8,57.0,2019
Karimnagar,April,15.68,43.0,21.0,2025
Yadadri Bhuvanagiri,March,13.81,23.8,25.0,2019
Suryapet,February,4.72,42.4,97.0,2019
Mancherial,February,2.87,17.8,20.0,2016
Nirmal,July,189.78,18.6,94.0,2024
Mahabubnagar,September,136.92,34.5,74.0,2015
Yadadri Bhuvanagiri,January,8.42,29.2,63.0,2019
Siddipet,November,18.77,39.8,72.0,2015
Mancherial,September,139.27,40.1,74.0,2021
Khammam,April,17.33,34.5,28.0,2021
Peddapalli,January,11.22,23.8,90.0,2023
Nirmal,July,191.95,29.2,79.0,2025
Jogulamba Gadwal,October,90.81,26.3,31.0,2021
Nirmal,January,6.54,22.4,76.0,2020
Karimnagar,March,13.76,26.7,74.0,2015
Mulugu,October,91.54,30.6,73.0,2023
Nirmal,August,192.42,24.7,35.0,2025
Adilabad,August,189.41,17.4,75.0,2022
Vikarabad,August,188.84,44.6,91.0,2018
Yadadri Bhuvanagiri,October,92.88,20.8,65.0,2016
Medak,April,21.25,16.5,72.0,2022
Medak,September,137.94,18.2,46.0,2023
Medak,December,1.45,40.6,85.0,2025
Mahabubnagar,November,16.44,30.8,68.0,2018
Nizamabad,March,15.91,27.6,64.0,2015
Hyderabad,December,4.05,39.1,56.0,2019
Nirmal,September,141.38,24.6,58.0,2022
Khammam,May,30.44,36.1,66.0,2015
Rangareddy,June,120.89,18.9,96.0,2022
Nagarkurnool,January,9.84,19.3,84.0,2022
Jogulamba Gadwal,June,118.29,36.6,81.0,2021
Karimnagar,November,19.2,30.7,42.0,2022
Suryapet,June,116.84,20.8,26.0,2019
Khammam,December,7.46,25.6,97.0,2019
Kumurambheem Asifabad,July,190.96,27.4,55.0,2016
Nirmal,April,14.45,22.1,62.0,2020
Rangareddy,April,17.85,43.7,26.0,2015
Sangareddy,October,91.06,19.2,78.0,2022
Rangareddy,August,189.01,28.1,64.0,2023
Mulugu,October,90.89,22.9,36.0,2022
Vikarabad,February,9.79,29.8,79.0,2022
Kamareddy,November,17.94,31.7,93.0,2017
Nirmal,March,14.5,41.8,45.0,2024
Vikarabad,January,9.18,16.3,99.0,2022
Jagtial,February,7.11,42.2,30.0,2019
Kamareddy,April,16.49,36.7,49.0,2018
Mahabubnagar,March,12.1,21.9,34.0,2018
Kumurambheem Asifabad,March,15.06,36.6,65.0,2024
Karimnagar,March,13.69,34.4,54.0,2024
Nalgonda,November,18.57,20.5,48.0,2024
Rangareddy,August,189.01,19.8,52.0,2019
Karimnagar,February,5.45,40.1,48.0,2019
Suryapet,January,13.33,38.5,29.0,2024
Wanaparthy,January,8.74,42.6,55.0,2018
Peddapalli,March,13.23,41.6,86.0,2024
Kumurambheem Asifabad,June,116.57,37.4,43.0,2023
Adilabad,March,14.09,37.7,75.0,2019
Siddipet,July,194.63,30.7,31.0,2025
Rajanna Sircilla,March,14.79,33.0,72.0,2023
Nirmal,February,8.02,31.4,100.0,2025
Nalgonda,November,18.93,34.2,98.0,2017
Rangareddy,February,8.49,23.2,46.0,2021
Nalgonda,December,7.68,17.0,24.0,2024
Vikarabad,June,117.28,39.1,60.0,2017
Khammam,June,122.98,37.3,28.0,2017
Kamareddy,November,18.58,24.6,98.0,2024
Adilabad,July,190.38,20.9,90.0,2019
Jogulamba Gadwal,May,29.07,40.9,70.0,2015
Karimnagar,December,10.44,22.6,30.0,2020
Mancherial,August,191.6,20.5,93.0,2022
Kamareddy,December,6.45,37.0,46.0,2015
Kumurambheem Asifabad,September,137.25,40.2,52.0,2018
Nirmal,April,18.49,43.8,36.0,2021
Jagtial,March,13.66,43.6,22.0,2016
Mahabubabad,June,118.27,37.4,81.0,2024
Rangareddy,March,15.27,24.5,30.0,2017
Jagtial,March,12.42,43.2,78.0,2015
Wanaparthy,December,7.6,15.9,76.0,2017
Jogulamba Gadwal,March,14.1,27.1,87.0,2023
Mulugu,October,91.16,28.8,81.0,2015
Siddipet,January,7.87,20.6,57.0,2024
Rangareddy,May,30.35,27.7,35.0,2022
Nizamabad,November,15.43,33.0,68.0,2015
Jagtial,January,11.87,32.4,65.0,2018
Nirmal,March,12.5,42.4,85.0,2024
Rangareddy,February,5.02,36.4,23.0,2018
Hyderabad,July,193.58,28.4,30.0,2021
Nalgonda,December,1.86,35.1,56.0,2021
Peddapalli,October,91.51,21.0,97.0,2024
Vikarabad,July,194.72,28.0,63.0,2022
Mulugu,July,193.42,34.3,59.0,2020
Nalgonda,September,137.32,42.4,32.0,2021
Kamareddy,July,191.36,44.8,60.0,2024
Mulugu,March,14.83,24.0,24.0,2021
Nalgonda,March,18.21,42.8,31.0,2025
Suryapet,November,18.76,24.0,30.0,2024
Mahabubabad,July,191.61,43.0,51.0,2017
Mulugu,March,19.58,38.0,38.0,2019
Nirmal,February,6.36,30.9,22.0,2018
Rajanna Sircilla,September,136.91,37.8,77.0,2024
Suryapet,October,92.84,45.0,54.0,2016
Peddapalli,February,9.77,15.1,87.0,2016
Medak,October,92.82,42.4,46.0,2022
Kumurambheem Asifabad,May,30.95,32.1,25.0,2024
Vikarabad,April,18.71,18.4,90.0,2016
Mancherial,November,21.71,16.3,35.0,2016
Siddipet,April,17.8,19.2,75.0,2018
Jogulamba Gadwal,January,13.04,25.9,69.0,2025
Mancherial,November,13.91,18.8,54.0,2023
Hanamkonda,October,92.5,29.2,70.0,2020
Medak,June,117.55,30.3,75.0,2018
Mancherial,March,13.95,44.6,53.0,2017
Yadadri Bhuvanagiri,March,15.76,40.9,49.0,2021
Mancherial,April,18.08,18.9,93.0,2018
Adilabad,August,188.9,24.4,51.0,2024
Mancherial,March,11.44,44.9,78.0,2020
Sangareddy,May,32.01,44.3,74.0,2017
Siddipet,December,8.31,36.5,94.0,2022
Peddapalli,November,20.1,15.6,99.0,2016
Jagtial,July,190.89,30.7,95.0,2016
Hanamkonda,February,8.99,31.1,39.0,2016
Rangareddy,October,93.33,41.4,92.0,2016
Suryapet,May,32.08,24.6,37.0,2019
Siddipet,June,120.15,43.9,68.0,2018
Karimnagar,October,94.34,18.4,30.0,2023
Suryapet,October,92.25,19.7,36.0,2018
Hyderabad,November,16.69,45.0,66.0,2022
Nalgonda,February,7.49,34.2,68.0,2025
Jagtial,October,94.37,21.0,37.0,2021
Vikarabad,October,90.39,24.5,81.0,2023
Suryapet,May,32.33,33.6,99.0,2019
Sangareddy,June,121.93,27.0,60.0,2020
Mancherial,April,16.91,23.1,49.0,2018
Kamareddy,September,138.35,42.5,36.0,2019
Suryapet,February,7.59,22.9,87.0,2018
Nirmal,July,189.63,24.1,99.0,2017
Mahabubabad,July,193.49,28.7,28.0,2015
Jogulamba Gadwal,October,91.89,21.7,41.0,2023
Khammam,July,190.36,28.9,51.0,2016
Medak,March,12.09,40.3,91.0,2016
Sangareddy,December,3.78,42.3,35.0,2020
Mancherial,June,124.27,40.1,37.0,2020
Khammam,January,8.72,44.8,52.0,2025
Kumurambheem Asifabad,May,28.95,39.2,74.0,2021
Kumurambheem Asifabad,December,4.49,41.7,56.0,2024
Hyderabad,April,18.46,35.4,55.0,2020
Rangareddy,November,17.25,34.9,98.0,2022
Mulugu,November,16.95,39.5,58.0,2021
Sangareddy,June,115.7,21.0,77.0,2025
Nizamabad,July,187.84,22.8,97.0,2020
Kumurambheem Asifabad,July,196.0,45.0,93.0,2025
Nirmal,March,14.97,28.8,29.0,2020
Rangareddy,February,5.09,22.5,75.0,2015
Jogulamba Gadwal,June,121.04,20.8,42.0,2023
Rangareddy,May,31.23,36.2,32.0,2024
Sangareddy,October,91.83,23.8,66.0,2015
Jagtial,December,4.59,18.6,38.0,2024
Jagtial,April,20.28,31.0,99.0,2025
Rajanna Sircilla,April,16.62,26.8,93.0,2018
Karimnagar,October,90.78,16.7,51.0,2025
Nizamabad,February,5.17,41.3,92.0,2025
Nirmal,May,32.49,37.1,84.0,2017
Medak,August,192.55,44.8,44.0,2017
Nalgonda,May,28.08,34.9,58.0,2024
Suryapet,April,14.78,43.6,55.0,2023
Vikarabad,November,17.92,34.9,86.0,2015
Mancherial,March,9.38,17.6,75.0,2022
Adilabad,December,7.35,33.2,40.0,2023
Nagarkurnool,April,19.51,40.2,60.0,2018
Mahabubabad,June,118.99,29.3,97.0,2024
Mahabubnagar,July,193.24,32.9,73.0,2021
Nalgonda,July,194.97,29.3,67.0,2020
Rajanna Sircilla,April,18.64,16.4,52.0,2018
Mahabubabad,December,4.09,39.0,67.0,2015
Adilabad,November,19.48,26.2,50.0,2015
Nalgonda,October,92.54,37.4,38.0,2020
Sangareddy,December,7.3,24.7,63.0,2020
Jagtial,January,6.71,34.0,92.0,2019
Hyderabad,July,193.01,40.1,81.0,2018
Vikarabad,August,191.37,40.7,26.0,2025
Mancherial,January,12.14,36.9,70.0,2023
Karimnagar,May,31.11,19.1,33.0,2016
Kumurambheem Asifabad,November,17.74,22.1,54.0,2022
Suryapet,December,7.13,16.9,91.0,2023
Medak,May,29.91,18.6,74.0,2021
Mahabubnagar,November,20.83,39.0,29.0,2024
Karimnagar,August,193.83,27.8,91.0,2017
Siddipet,May,30.91,31.2,53.0,2016
Mahabubnagar,February,7.78,43.7,41.0,2018
Khammam,March,16.59,21.5,52.0,2025
Nalgonda,November,18.54,38.9,39.0,2025
Mahabubnagar,October,91.74,29.5,20.0,2022
Siddipet,September,133.08,35.8,64.0,2024
Kamareddy,December,6.51,21.9,91.0,2021
Sangareddy,April,17.02,34.0,65.0,2018
Yadadri Bhuvanagiri,November,20.02,36.2,69.0,2025
Jagtial,September,141.96,32.6,65.0,2024
Nirmal,January,9.73,19.4,29.0,2015
Hanamkonda,December,4.9,27.1,80.0,2022
Mahabubabad,December,2.61,38.6,100.0,2022
Mulugu,October,95.24,16.4,80.0,2019
Hyderabad,November,15.7,16.8,98.0,2015
Kamareddy,October,94.15,30.3,57.0,2021
Mahabubnagar,May,30.07,23.0,59.0,2018
Rajanna Sircilla,July,190.7,20.0,38.0,2015
Jogulamba Gadwal,January,10.3,28.8,52.0,2019
Hyderabad,December,1.81,36.9,70.0,2020
Nagarkurnool,October,86.49,35.2,89.0,2016
Vikarabad,March,17.45,41.6,41.0,2024
Sangareddy,July,191.71,30.3,56.0,2023
Nalgonda,November,19.15,37.7,81.0,2016
Nirmal,November,17.19,21.6,44.0,2020
Hyderabad,January,9.72,42.9,73.0,2025
Nirmal,January,7.04,31.8,96.0,2022
Rangareddy,December,6.27,29.7,88.0,2020
Karimnagar,March,14.63,30.5,63.0,2015
Suryapet,April,16.7,43.4,55.0,2015
Yadadri Bhuvanagiri,August,190.03,33.3,92.0,2015
Yadadri Bhuvanagiri,October,91.47,40.7,88.0,2023
Jogulamba Gadwal,September,136.72,34.2,49.0,2016
Suryapet,November,19.67,30.6,71.0,2019
Yadadri Bhuvanagiri,September,135.94,27.9,56.0,2016
Nalgonda,May,28.26,21.9,89.0,2015
Hanamkonda,March,9.5,37.8,98.0,2025
Rangareddy,February,7.28,34.3,34.0,2023
Yadadri Bhuvanagiri,June,118.92,24.5,85.0,2021
Sangareddy,August,195.25,35.6,43.0,2016
Kumurambheem Asifabad,May,30.0,36.7,27.0,2018
Khammam,March,15.9,33.1,53.0,2020
Mulugu,February,5.39,20.9,78.0,2024
Jagtial,October,90.26,27.1,50.0,2017
Nirmal,May,29.12,32.7,45.0,2023
Khammam,September,137.3,21.0,77.0,2017
Jogulamba Gadwal,March,16.97,23.3,55.0,2020
Yadadri Bhuvanagiri,January,8.72,26.0,37.0,2022
Suryapet,April,16.7,15.5,95.0,2024
Vikarabad,February,9.28,26.3,60.0,2016
Nirmal,December,7.68,19.2,79.0,2015
Karimnagar,March,15.61,23.2,62.0,2025
Mulugu,October,93.96,20.9,92.0,2016
Wanaparthy,January,4.8,39.8,85.0,2021
Kumurambheem Asifabad,August,191.39,17.1,55.0,2023
Sangareddy,February,7.29,33.1,94.0,2018
Wanaparthy,October,89.28,30.7,95.0,2024
Hanamkonda,January,7.51,31.2,37.0,2018
Mulugu,December,3.77,21.9,72.0,2019
Hyderabad,November,17.75,35.5,98.0,2018
Hyderabad,October,93.39,23.5,91.0,2016
Kumurambheem Asifabad,July,193.07,18.9,82.0,2025
Rangareddy,April,17.18,37.7,94.0,2024
Nirmal,June,119.48,32.3,42.0,2024
Jagtial,March,14.13,38.9,66.0,2021
Kumurambheem Asifabad,June,118.89,30.0,83.0,2015
Jagtial,December,5.15,20.9,48.0,2021
Nalgonda,July,195.21,19.3,86.0,2024
Siddipet,March,12.5,17.0,52.0,2022
Adilabad,May,32.29,36.1,99.0,2018
Adilabad,July,193.82,17.0,81.0,2024
Rajanna Sircilla,December,6.39,24.8,99.0,2024
Mahabubnagar,December,3.14,17.5,68.0,2023
Wanaparthy,December,4.25,42.2,76.0,2024
Nirmal,July,190.72,19.3,98.0,2020
Nalgonda,April,21.92,34.1,51.0,2016
Wanaparthy,June,122.74,41.3,43.0,2024
Jagtial,July,189.83,38.8,43.0,2019
Khammam,March,12.15,31.9,97.0,2017
Kamareddy,June,119.76,41.5,58.0,2018
Siddipet,April,16.6,30.1,54.0,2017
Nirmal,November,15.09,24.2,25.0,2015
Jagtial,September,134.53,24.8,51.0,2017
Adilabad,May,30.52,43.5,89.0,2019
Nizamabad,September,135.64,18.4,34.0,2016
Nagarkurnool,April,18.19,38.3,41.0,2020
Suryapet,May,25.82,28.0,34.0,2023
Nirmal,July,191.52,23.6,85.0,2017
Kumurambheem Asifabad,May,31.51,38.4,27.0,2019
Nalgonda,September,137.09,17.1,58.0,2025
Khammam,July,194.61,21.6,45.0,2016
Yadadri Bhuvanagiri,March,13.97,44.2,31.0,2019
Medak,February,6.55,23.7,83.0,2018
Nizamabad,September,138.15,18.1,30.0,2023
Hyderabad,September,137.93,39.0,65.0,2024
Yadadri Bhuvanagiri,July,192.83,38.7,100.0,2022
Sangareddy,May,27.78,31.5,46.0,2019
Nizamabad,March,14.23,40.4,42.0,2022
Hyderabad,November,19.45,31.5,77.0,2025
Mancherial,December,4.69,42.8,57.0,2015
Peddapalli,March,17.92,42.7,26.0,2018
Rangareddy,October,93.85,27.3,99.0,2022
Hanamkonda,December,7.53,37.0,35.0,2025
Medak,December,5.47,21.8,44.0,2024
Wanaparthy,August,187.81,22.9,35.0,2015
Mancherial,July,194.73,20.3,98.0,2023
Karimnagar,February,4.92,42.4,24.0,2020
Vikarabad,October,92.85,40.8,52.0,2021
Rajanna Sircilla,June,119.6,16.1,70.0,2022
Jogulamba Gadwal,February,5.78,32.6,42.0,2025
Jagtial,April,21.23,15.7,26.0,2016
Adilabad,March,16.57,23.8,32.0,2017
Yadadri Bhuvanagiri,April,17.73,32.9,79.0,2021
Khammam,October,94.73,44.4,37.0,2021
Nalgonda,May,30.18,34.2,60.0,2024
Medak,June,118.1,43.3,31.0,2018
Jagtial,May,30.08,41.5,72.0,2025
Mahabubabad,July,190.04,42.7,49.0,2020
Hyderabad,October,90.03,30.3,53.0,2019
Yadadri Bhuvanagiri,May,29.39,37.7,87.0,2017
Kamareddy,January,8.11,24.9,25.0,2021
Mulugu,January,8.72,32.6,23.0,2025
Yadadri Bhuvanagiri,May,30.03,31.0,57.0,2015
Siddipet,November,15.59,38.9,20.0,2022
Yadadri Bhuvanagiri,August,191.18,33.4,21.0,2019
Nalgonda,January,5.56,39.8,63.0,2022
Hyderabad,December,4.65,42.9,44.0,2017
Yadadri Bhuvanagiri,November,18.83,23.4,79.0,2020
Jogulamba Gadwal,July,190.62,39.0,84.0,2016
Kamareddy,December,4.96,44.2,20.0,2023
Vikarabad,August,191.65,40.9,49.0,2023
Yadadri Bhuvanagiri,March,15.69,33.8,81.0,2015
Mahabubabad,February,8.4,18.1,54.0,2023
Mahabubabad,May,27.4,25.0,59.0,2015
Nalgonda,June,122.77,42.0,95.0,2018
Karimnagar,May,33.01,16.5,68.0,2022
Rajanna Sircilla,January,8.48,26.5,27.0,2019
Hanamkonda,October,92.32,42.9,58.0,2023
Jagtial,September,137.49,18.2,20.0,2024
Wanaparthy,January,8.85,37.8,96.0,2019
Peddapalli,October,91.71,37.1,35.0,2015
Mancherial,March,11.59,44.4,62.0,2018
Wanaparthy,March,16.07,32.7,49.0,2015
Kamareddy,September,137.01,28.8,61.0,2025
Mulugu,February,10.23,20.1,87.0,2022
Khammam,January,4.5,21.9,46.0,2018
Vikarabad,August,189.95,36.8,32.0,2025
Suryapet,August,189.28,37.8,74.0,2023
Mahabubabad,August,189.29,18.2,73.0,2025
Medak,November,20.9,15.6,53.0,2019
Sangareddy,June,120.91,43.4,97.0,2016
Yadadri Bhuvanagiri,December,4.23,22.0,36.0,2016
Rangareddy,October,88.25,32.2,84.0,2023
Karimnagar,July,189.21,17.9,34.0,2022
Rajanna Sircilla,December,6.06,21.6,34.0,2020
Sangareddy,August,191.41,41.0,44.0,2022
Vikarabad,August,192.18,21.7,68.0,2023
Mancherial,April,21.85,34.2,21.0,2018
Nalgonda,October,91.2,25.8,47.0,2023
Nagarkurnool,April,17.36,27.8,80.0,2015
Mancherial,May,34.06,44.5,62.0,2022
